País,Liga,Temporada,Fecha,Equipo Local,Equipo Visitante,Goles Local,Goles Visitante,Resultado,Goles Medio Tiempo Local,Goles Medio Tiempo Visitante,Resultado Medio Tiempo,Puntos Local,Puntos Visitante
Mexico,Liga MX,2015/2016,2016-03-06,Atlas,Santos Laguna,1.0,2.0,A,1.0,2.0,A,0,3
Mexico,Liga MX,2015/2016,2016-03-06,Chiapas,Toluca,3.0,2.0,H,3.0,2.0,H,3,0
Mexico,Liga MX,2015/2016,2016-03-06,UNAM Pumas,Cruz Azul,2.0,2.0,D,2.0,2.0,D,1,1
Mexico,Liga MX,2015/2016,2016-03-06,Puebla,Veracruz,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-03-12,Santos Laguna,Pachuca,3.0,2.0,H,3.0,2.0,H,3,0
Mexico,Liga MX,2015/2016,2016-03-12,Veracruz,Atlas,3.0,2.0,H,3.0,2.0,H,3,0
Mexico,Liga MX,2015/2016,2016-03-12,Cruz Azul,Puebla,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-03-13,Tigres UANL,UNAM Pumas,0.0,0.0,D,0.0,0.0,D,1,1
Mexico,Liga MX,2015/2016,2016-03-13,Club Leon,Queretaro,2.0,0.0,H,2.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-03-13,Monarcas,Monterrey,1.0,3.0,A,1.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2016-03-13,Chiapas,Club Tijuana,1.0,2.0,A,1.0,2.0,A,0,3
Mexico,Liga MX,2015/2016,2016-03-13,Toluca,Dorados de Sinaloa,3.0,0.0,H,3.0,0.0,H,3,0
